naics_category_name,category_label,total_jobs_retained,total_loan_dollars_thousands,loan_count
Accommodation and Food Services,accommodation_and_food_services,27766.0,347600,577
Administrative and Support and Waste Mgt,administrative_and_support_and_waste_mgt,5651.0,118125,145
Agriculture Forestry Fishing and Hunting,agriculture_forestry_fishing_and_hunting,401.0,10275,10
Arts Entertainment and Recreation,arts_entertainment_and_recreation,4935.0,88025,71
Construction,construction,9883.0,228950,271
Educational Services,educational_services,7364.0,121575,129
Finance and Insurance,finance_and_insurance,4008.0,109800,116
Health Care and Social Assistance,health_care_and_social_assistance,10700.0,148625,231
Information,information,10255.0,266950,299
Management of Companies and Enterprises,management_of_companies_and_enterprises,167.0,4375,9
Manufacturing,manufacturing,6187.0,118425,155
Mining Quarrying and Oil and Gas Extraction,mining_quarrying_and_oil_and_gas_extraction,8.0,250,1
Other Services (except Public Administration),other_services_except_public_administration,14454.0,225950,282
Professional Scientific and Technical Services,professional_scientific_and_technical_services,29585.0,707375,958
Public Administration,public_administration,338.0,6850,11
Real Estate and Rental and Leasing,real_estate_and_rental_and_leasing,5681.0,111950,119
Retail Trade,retail_trade,10410.0,144200,210
Transportation and Warehousing,transportation_and_warehousing,2150.0,46700,45
Utilities,utilities,205.0,4925,5
Wholesale Trade,wholesale_trade,3683.0,64850,101
